gene,group_1_with_mut,group_1_without_mut,group_2_with_mut,group_2_without_mut,chi2_p,mwu_p,chi2_neglogp,mwu_neglogp
RAPGEF2,14,199,11,136,0.9020858882650751,0.2215858713403317,0.044752110990422325,0.654457934352213
C9,13,200,10,137,0.9621151740005746,1.0,0.016772935821961883,-0.0
SKIV2L2,6,207,6,141,0.7200388747942799,1.0,0.14264405543973935,-0.0
PIK3R1,4,209,3,144,1.0,1.0,-0.0,-0.0
MSH3,2,211,3,144,0.6745290717934915,1.0,0.17099932776018953,-0.0
ST8SIA4,1,212,5,142,0.08597079873484688,1.0,1.065649038313215,-0.0
LVRN,12,201,7,140,0.9014033901550458,0.5126907602619233,0.04508081289155506,0.2901445093655689
SRFBP1,1,212,6,141,0.04022958357826264,1.0,1.3954544628450618,-0.0
SNCAIP,7,206,4,143,1.0,1.0,-0.0,-0.0
ADAMTS19,13,200,8,139,0.972627661878787,0.16989119345440273,0.012053383101707407,0.7698291328041941
TMCO6,1,212,3,144,0.375322161805409,1.0,0.4255957908610071,-0.0
PCDHAC1,3,210,3,144,0.9665950245003128,1.0,0.014755444700573309,-0.0
PCDHB4,19,194,6,141,0.11777115043232178,0.33698967019398784,0.92896108257539,0.4723834114328374
PCDHGA5,15,198,8,139,0.6958290523870994,0.6918007582537585,0.1574974424639689,0.16001896630945334
DIAPH1,1,212,1,146,1.0,1.0,-0.0,-0.0
NDFIP1,0,213,1,146,0.8518536551102904,1.0,0.06963500879801482,-0.0
GABRA1,8,205,11,136,0.18857076812235463,1.0,0.7245256298760091,-0.0
SPDL1,5,208,2,145,0.7808101540403325,1.0,0.10745454752500777,-0.0
LYRM4,2,211,2,145,1.0,1.0,-0.0,-0.0
PNPLA1,3,210,2,145,1.0,1.0,-0.0,-0.0
KCNK5,0,213,2,145,0.3242395507928306,1.0,0.4891340109451508,-0.0
TFEB,4,209,2,145,1.0,1.0,-0.0,-0.0
ABCC10,5,208,6,141,0.5298706391580572,0.4652088184521418,0.2758301446579958,0.33235206142251184
CLIC5,2,211,3,144,0.6745290717934915,1.0,0.17099932776018953,-0.0
FUT9,7,206,2,145,0.41967204900849586,1.0,0.3770899546998858,-0.0
VNN2,5,208,2,145,0.7808101540403325,1.0,0.10745454752500777,-0.0
PLEKHG1,3,210,3,144,0.9665950245003128,1.0,0.014755444700573309,-0.0
FERD3L,12,201,3,144,0.15896141609299724,1.0,0.798708277008991,-0.0
CCM2,2,211,3,144,0.6745290717934915,1.0,0.17099932776018953,-0.0
ADCY1,13,200,9,138,1.0,0.8223992589720882,-0.0,0.08491728967233793
COBL,14,199,6,141,0.43527989775780784,0.9469028510826644,0.3612313891128693,0.023694575804524276
PSPHP1,0,213,2,145,0.3242395507928306,1.0,0.4891340109451508,-0.0
TMEM248,2,211,2,145,1.0,1.0,-0.0,-0.0
SLC25A40,2,211,2,145,1.0,0.6170750774519738,-0.0,0.2096619936012596
CASD1,2,211,3,144,0.6745290717934915,1.0,0.17099932776018953,-0.0
TFR2,2,211,2,145,1.0,1.0,-0.0,-0.0
DNAJB9,2,211,1,146,1.0,1.0,-0.0,-0.0
MKLN1,3,210,4,143,0.6182827140704736,1.0,0.20881289532345965,-0.0
DGKI,17,196,11,136,1.0,0.8606825423562883,-0.0,0.06515700595175844
MKRN1,4,209,2,145,1.0,1.0,-0.0,-0.0
DENND2A,11,202,8,139,1.0,0.8767217432348915,-0.0,0.057138222543603234
KEL,16,197,7,140,0.4068705461709585,0.3739818745877945,0.3905437480882559,0.42714944581357484
OR2A2,7,206,11,136,0.1211973463913184,1.0,0.916506888917454,-0.0
DPP6,18,195,17,130,0.42413312889877686,0.7031796984520566,0.37249780361667206,0.1529336762982217
ERICH1,0,213,3,144,0.13260553676108186,1.0,0.8774383421862629,-0.0
MTUS1,4,209,3,144,1.0,1.0,-0.0,-0.0
LGI3,3,210,2,145,1.0,1.0,-0.0,-0.0
HTRA4,4,209,3,144,1.0,1.0,-0.0,-0.0
NPBWR1,1,212,2,145,0.7456564822546201,1.0,0.12746120231390273,-0.0
ATP6V1H,9,204,4,143,0.642233140842186,1.0,0.1923072875058506,-0.0
KIAA1429,6,207,4,143,1.0,0.5402913746074198,-0.0,0.2673719656281234
VPS13B,19,194,17,130,0.5199905552247337,0.6160414893647346,0.2840045445402626,0.21039003784306334
