gene,group_1_with_mut,group_1_without_mut,group_2_with_mut,group_2_without_mut,chi2_p,mwu_p,chi2_neglogp,mwu_neglogp
DCC,8,130,9,84,0.39488309199215976,0.2173059935547036,0.403531461380471,0.6629282951620434
TCF4,7,131,2,91,0.4360567028840532,1.0,0.3604570333266637,-0.0
ST8SIA3,1,137,2,91,0.729148303480987,1.0,0.13718413034732296,-0.0
TNFRSF11A,2,136,2,91,1.0,1.0,-0.0,-0.0
BCL2,0,138,1,92,0.842230304417774,1.0,0.0745691362182484,-0.0
CNDP2,0,138,2,91,0.31433836250136415,1.0,0.5026026135545971,-0.0
THEG,2,136,1,92,1.0,1.0,-0.0,-0.0
CDC34,0,138,0,93,1.0,1.0,-0.0,-0.0
APC2,2,136,1,92,1.0,1.0,-0.0,-0.0
ATP8B3,2,136,4,89,0.36036336813710723,1.0,0.4432593625999806,-0.0
OAZ1,0,138,0,93,1.0,1.0,-0.0,-0.0
VAV1,2,136,1,92,1.0,1.0,-0.0,-0.0
ZNF557,1,137,0,93,1.0,1.0,-0.0,-0.0
RDH8,2,136,1,92,1.0,1.0,-0.0,-0.0
P2RY11,0,138,0,93,1.0,1.0,-0.0,-0.0
S1PR5,1,137,1,92,1.0,1.0,-0.0,-0.0
KANK2,2,136,0,93,0.6585193403347638,1.0,0.18143146553542128,-0.0
DOCK6,4,134,0,93,0.25345039771115757,1.0,0.5961070229506382,-0.0
SWSAP1,0,138,0,93,1.0,1.0,-0.0,-0.0
ZNF653,1,137,1,92,1.0,1.0,-0.0,-0.0
ZNF788,0,138,0,93,1.0,1.0,-0.0,-0.0
COLGALT1,0,138,0,93,1.0,1.0,-0.0,-0.0
ZNF91,3,135,3,90,0.9432369235568201,0.5049850750938458,0.02537920687065199,0.29672145732721994
ZNF675,1,137,3,90,0.36022173633157495,1.0,0.44343008473124673,-0.0
AC005307.3,0,138,0,93,1.0,1.0,-0.0,-0.0
TSHZ3,18,120,11,82,0.9434046558187551,0.5734943792265443,0.02530198478800123,0.24147083422802854
SLC7A9,0,138,4,89,0.051965633435773644,1.0,1.2842837745071456,-0.0
ALKBH6,1,137,1,92,1.0,1.0,-0.0,-0.0
ZNF565,1,137,0,93,1.0,1.0,-0.0,-0.0
ZNF607,2,136,1,92,1.0,1.0,-0.0,-0.0
RASGRP4,3,135,4,89,0.5936041255614561,1.0,0.22650308936253855,-0.0
PAPL,2,136,1,92,1.0,1.0,-0.0,-0.0
FBL,2,136,1,92,1.0,1.0,-0.0,-0.0
FCGBP,17,121,5,88,0.12494543587515279,0.09909801542176055,0.9032796035666532,1.0039350427902902
CYP2B6,3,135,1,92,0.9096079781954267,0.24821307898992362,0.04114573909532821,0.6051753381334227
CYP2A7P1,2,136,0,93,0.6585193403347638,1.0,0.18143146553542128,-0.0
HNRNPUL1,2,136,2,91,1.0,1.0,-0.0,-0.0
GRIK5,4,134,1,92,0.6362574981407336,1.0,0.1963670865695941,-0.0
PSG2,3,135,2,91,1.0,0.4142161782425252,-0.0,0.3827729426607157
PSG4,8,130,4,89,0.8413206867663918,1.0,0.07503843232765768,-0.0
IRGC,2,136,3,90,0.6534376736205666,1.0,0.18479583010872824,-0.0
ZNF222,3,135,0,93,0.40162896798675896,1.0,0.3961749707059321,-0.0
ZNF224,1,137,1,92,1.0,1.0,-0.0,-0.0
ZNF226,5,133,3,90,1.0,1.0,-0.0,-0.0
BLOC1S3,0,138,0,93,1.0,1.0,-0.0,-0.0
ERCC2,1,137,1,92,1.0,1.0,-0.0,-0.0
